MonetaryValue,Frequency,Recency
149.57,1,176
230.17000000000002,1,72
305.05,1,15
804.82,3,37
924.52,3,59
2244.7,3,213
638.6999999999999,2,43
442.0,2,111
543.89,2,44
1077.2,2,16
1388.81,4,244
1441.55,3,100
124.46,1,144
869.01,4,1
3070.54,2,157
370.63,1,301
314.67,1,65
306.36,1,95
2442.47,8,8
1603.6,4,74
309.49,2,17
919.7,1,70
147.45,1,17
916.12,1,20
257.28000000000003,2,3
1024.55,2,7
239.9,1,63
251.1,1,69
621.5600000000001,2,36
390.85,1,301
512.77,2,45
61.54,1,10
301.58000000000004,1,55
2210.64,5,25
507.45,2,195
897.52,6,36
437.15,3,35
591.28,3,29
389.26000000000005,1,267
512.68,1,70
357.6,1,122
1637.33,7,17
2776.44,4,52
370.45,2,55
3084.58,6,8
83.0,2,98
2661.54,9,10
204.24,1,368
549.88,1,165
307.21000000000004,1,294
1276.66,4,17
359.35,1,174
366.0,2,274
1504.26,7,1
1579.07,2,57
386.03,2,0
3260.0,7,55
1443.03,2,11
805.07,4,11
631.6800000000001,2,9
96.55,1,161
726.25,5,0
102.6,1,30
796.9,5,16
623.49,2,53
2502.82,5,20
449.96999999999997,3,119
2161.19,9,46
636.25,2,91
871.82,1,135
2133.12,2,48
201.73,1,21
188.69,1,368
622.6700000000001,2,136
3765.2,5,35
2253.22,1,31
215.46,1,318
180.75,1,140
387.84,1,20
311.37,1,147
1623.94,2,20
2497.86,7,50
372.8,2,49
304.97,1,154
730.42,1,214
185.35,1,37
3188.2000000000003,5,73
157.70000000000002,1,120
824.48,2,17
1183.39,4,14
313.64,1,361
455.25,1,219
1271.06,3,78
174.57999999999998,1,46
476.92,2,18
1310.3400000000001,4,135
1923.99,4,183
1496.67,4,42
628.4399999999999,4,98
173.66,1,144
198.09,2,129
2248.3,5,71
875.31,2,85
2146.39,5,109
347.49,1,186
217.73,1,195
2069.3,4,99
849.56,2,73
2740.91,7,6
1381.19,8,11
1060.7,6,108
326.25,2,34
187.35000000000002,1,245
235.78,1,197
132.5,1,290
649.32,5,18
1357.56,5,8
1878.92,3,72
299.4,6,97
837.53,2,73
444.94,2,34
402.72,3,240
490.32,3,34
2312.7,2,14
266.6,1,212
2542.83,8,87
881.72,7,88
119.5,1,140
574.48,3,60
428.06,2,28
200.18,1,324
456.4,2,58
140.22000000000003,1,336
1508.7,6,139
63.419999999999995,1,210
2651.23,8,11
230.44,1,144
270.8,1,58
389.61,2,85
495.72,2,1
132.24,1,72
465.42,1,363
532.5,1,55
627.5400000000001,2,8
151.4,1,241
611.9000000000001,3,57
1164.6,3,27
1131.45,4,218
435.6,1,57
188.83,1,314
258.28000000000003,1,0
1482.6,4,63
795.47,3,17
310.3,1,71
417.05,2,13
1237.65,7,1
818.06,6,13
390.56,4,99
529.15,2,17
1220.9,3,146
566.11,1,52
917.4300000000001,3,142
434.75,2,13
107.0,1,79
1536.38,5,25
185.06,1,319
1868.64,4,6
668.97,3,22
106.67999999999999,1,312
199.45000000000002,1,126
2737.05,7,18
746.57,6,246
307.95,1,66
1709.83,4,14
176.07999999999998,1,277
222.95999999999998,1,266
3084.02,1,63
712.95,1,99
1066.03,4,44
336.59999999999997,2,14
217.23999999999998,1,289
466.33000000000004,1,79
654.09,3,1
171.25,1,296
2904.83,1,9
136.0,1,160
510.72,2,55
1788.84,4,79
951.51,4,15
841.3,4,52
704.75,3,39
1778.79,6,21
1376.05,5,22
3207.3,5,21
3576.29,5,55
17.65,1,245
3132.96,9,29
338.13,1,365
1032.88,2,30
508.20000000000005,1,218
3598.25,9,9
1210.72,5,65
1676.68,7,14
476.90000000000003,2,45
333.18,3,111
163.8,1,29
432.45,2,197
3103.26,7,30
1723.45,5,0
226.57999999999998,1,106
583.1999999999999,1,211
900.1800000000001,2,129
1518.35,5,21
375.81,1,42
148.95,1,112
25.2,1,200
592.61,2,10
2285.04,10,55
258.9,1,1
874.42,3,77
185.4,2,259
448.24,2,11
566.9,2,92
477.32,1,181
246.86,1,373
1509.5,2,32
266.63,2,111
1901.71,6,22
132.04,1,91
259.09,1,44
1491.4,3,24
621.65,2,212
132.8,1,259
3377.78,5,85
1380.9099999999999,3,31
2016.71,9,104
