MonetaryValue,Frequency,Recency
225.89000000000001,2,4
1377.23,9,63
2248.6,5,18
270.0,1,159
2253.22,1,32
846.55,2,22
1251.65,3,32
1072.0,4,5
2143.84,3,15
2955.79,9,30
1523.49,3,54
271.47,2,141
658.02,5,191
218.53,2,200
747.28,2,29
1019.48,4,17
1220.48,6,19
521.66,2,1
1264.05,4,80
3027.58,9,23
376.92,1,57
471.14,2,9
216.3,1,129
292.21,1,227
1256.6000000000001,3,5
308.2,1,32
205.35999999999999,1,292
583.39,1,17
2285.04,10,56
1390.23,5,29
1079.66,4,57
900.63,4,74
241.45,1,164
2660.0,3,53
903.87,6,110
1109.4,1,204
1503.2400000000002,4,107
338.76,2,18
1327.98,3,54
1299.58,6,108
413.0,2,14
186.60000000000002,2,26
770.03,3,87
101.16,1,23
1839.1399999999999,3,29
214.70999999999998,1,214
1248.95,2,21
114.85,1,177
2234.86,8,32
1302.51,2,75
281.05,1,313
845.01,2,14
1355.29,7,9
2721.48,5,15
327.68,3,1
3022.79,6,81
2239.48,6,33
632.27,3,21
1610.62,3,88
524.65,2,30
485.6,4,9
3120.91,4,148
2558.96,2,208
1274.39,4,73
2046.29,2,57
140.55,1,228
2195.14,9,7
203.2,1,280
62.7,1,42
3783.89,3,39
382.2,1,85
1387.4499999999998,7,1
1254.94,9,16
2694.75,9,9
329.3,2,22
500.25,2,106
663.7,3,64
261.7,1,362
705.45,4,44
1482.6,4,64
1797.92,2,60
2485.57,4,53
1759.07,8,36
832.54,2,32
2161.19,9,47
1439.6100000000001,2,270
56.25,1,4
313.49,1,261
1240.25,2,246
206.07999999999998,1,56
110.65,1,107
2146.39,5,110
1468.82,4,43
438.65000000000003,1,232
563.1,2,12
61.28,1,65
638.0,2,40
2956.56,5,141
236.07,1,169
3040.88,9,33
739.2,2,33
854.61,2,32
519.95,2,3
321.6,1,320
132.24,1,73
661.39,3,70
2104.66,3,61
2284.34,8,1
136.01,1,39
100.91000000000001,1,21
454.54,3,360
223.39,2,217
389.18,1,45
315.98,1,46
365.5,2,158
797.9,3,30
215.22,1,28
654.09,3,2
658.95,1,332
345.71,1,46
151.5,1,277
212.1,1,78
1938.46,3,70
209.48,1,187
1055.05,5,9
168.22,1,284
1320.1,5,9
100.2,1,59
966.27,2,4
447.05,1,92
376.46,3,155
45.6,1,267
185.35,1,38
680.83,5,4
198.29,1,37
1992.13,8,1
746.89,3,28
516.8,1,211
309.09000000000003,1,50
62.4,1,68
1544.79,2,122
1161.89,5,82
271.28999999999996,2,285
1035.1,3,17
1163.39,3,8
329.3,1,23
293.79,1,176
568.64,2,66
429.0,4,87
2740.91,7,7
871.82,1,136
