Customer ID,MonetaryValue,Frequency,Recency,Cluster
12346.0,169.36,2,165,0
12347.0,1323.32,2,3,3
12348.0,221.16,1,74,1
12349.0,2221.14,2,43,3
12351.0,300.93,1,11,1
12352.0,343.8,2,11,1
12353.0,317.76,1,44,1
12355.0,488.21000000000004,1,203,0
12356.0,3124.3,3,16,2
12358.0,2519.01,3,11,3
12359.0,2563.36,6,61,2
12360.0,1310.83,3,28,3
12361.0,276.35,3,98,1
12366.0,500.24,1,269,0
12368.0,917.6999999999999,1,264,0
12369.0,1511.15,3,49,3
12370.0,534.62,3,260,0
12371.0,1819.42,3,45,3
12373.0,603.0500000000001,2,260,0
12374.0,2046.29,2,57,3
12376.0,383.15,2,25,1
12377.0,1718.2,2,17,3
12378.0,1407.7,1,198,0
12379.0,692.98,2,58,1
12385.0,1668.4,1,15,3
12386.0,258.9,1,2,1
12387.0,143.94,1,51,1
12388.0,1120.45,2,81,3
12389.0,1433.33,3,38,3
12391.0,2285.18,5,100,2
12392.0,234.75000000000003,1,227,0
12393.0,816.85,2,18,1
12395.0,1868.64,4,7,3
12396.0,931.43,1,310,0
12399.0,808.65,3,21,3
12400.0,205.25,1,50,1
12402.0,941.3,5,28,3
12403.0,555.6600000000001,1,157,0
12406.0,2975.06,3,35,2
12408.0,1287.22,3,21,3
12410.0,240.38,1,138,1
12411.0,346.9,1,45,1
12412.0,1262.05,3,38,3
12413.0,185.35,1,38,1
12414.0,90.0,1,99,1
12416.0,202.56,1,292,0
12417.0,2772.31,11,46,2
12418.0,1352.62,3,49,3
12419.0,391.01,2,21,1
12421.0,235.56,2,51,1
12422.0,2955.79,9,30,2
12423.0,667.08,2,23,1
12424.0,1579.07,2,58,3
12425.0,964.21,1,84,1
12426.0,690.48,1,298,0
12427.0,249.5,1,7,1
12429.0,3591.51,5,1,2
12434.0,297.29,1,17,1
12439.0,1142.88,2,318,0
12440.0,739.2,2,98,1
12441.0,155.55,1,2,1
12443.0,365.31,1,368,0
12445.0,301.58000000000004,1,56,1
12449.0,678.6,1,74,1
12450.0,490.32,3,35,1
12451.0,3634.36,3,99,2
12455.0,3383.09,4,81,2
12457.0,512.68,1,71,1
12458.0,715.09,2,63,1
12459.0,398.36,1,241,0
12460.0,296.65,1,92,1
12467.0,132.8,1,59,1
12468.0,2581.2,3,162,3
12469.0,3070.54,2,158,3
12470.0,211.95,1,325,0
12475.0,396.26,1,45,1
12480.0,1949.22,3,35,3
12483.0,2158.2000000000003,11,14,2
12484.0,1617.78,5,119,3
12485.0,708.1,1,165,0
12486.0,917.28,1,67,1
12487.0,285.29999999999995,1,366,0
12492.0,380.0,1,39,1
12494.0,518.77,3,1,1
12495.0,277.4,1,276,0
12496.0,45.34,2,256,0
12499.0,357.72,1,196,0
12500.0,1499.39,7,71,2
12503.0,896.0,1,220,0
12504.0,261.0,2,53,1
12505.0,787.2,1,44,1
12507.0,455.25,1,220,0
12510.0,2224.46,5,95,2
12511.0,3084.02,1,64,3
12514.0,580.08,1,277,0
12516.0,1102.56,2,66,1
12519.0,349.7,1,112,1
12525.0,883.73,3,134,3
12527.0,386.8,2,130,1
12529.0,316.48,1,164,0
12530.0,1880.98,5,51,3
12531.0,1645.98,1,322,0
12533.0,1223.89,2,263,0
12537.0,612.94,1,44,1
12538.0,276.5,1,14,1
12542.0,481.88,2,120,1
12543.0,840.25,1,84,1
12547.0,147.78,1,136,1
12549.0,1570.68,5,211,3
12553.0,826.47,2,21,1
12554.0,384.5,1,84,1
12562.0,1041.18,2,21,1
12563.0,221.24,1,44,1
12568.0,52.0,1,280,0
12573.0,556.87,4,17,3
12575.0,568.8199999999999,2,93,1
